"lang"
{
"Language"	"thai"
"Tokens"
{
"quest25000desc0"	"ปฏิบัติภารกิจทั้งหลายเมื่อเล่นเป็น Scout ให้สำเร็จเพื่อบรรลุภารกิจนี้"
"[english]quest25000desc0"	"Complete various tasks as Scout to complete this contract."
"quest25000desc1"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

สเก๊าท์เหรอ? นี่พอลิ่งนะ ช่วยหยุดเรื่องที่นายกำลังโม้อยู่และช่วยมาดูนี่ด้วย แล้วสเก๊าท์ล่ะ? ฉันอยากให้งานนี้เสร็จแบบเงียบ ๆ นะ สเก๊าท์? ขอแบบเงียบ ๆ นะ

<end transcript>

************"
"[english]quest25000desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SCOUT? PAULING HERE. WRAP UP WHATEVER YOU WERE BRAGGING ABOUT AND LOOK AT THIS. AND SCOUT? I NEED THIS DONE QUIETLY. SCOUT? QUIETLY.

<END TRANSCRIPT>

************"
"quest25000desc2"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************
สเก๊าท์ นี่พอลิ่งนะ ฉัน เอ่อ ได้ข้อความตอบรับโทรศัพท์ของนายล่ะ ข้อความ ทั้งหมดเลย ขอขอบคุณสำหรับ [เงียบ 00:05] ขอบคุณสำหรับทั้งหมดนั่นเลยนะ [เงียบ 00:06] เอาเถอะ ฟังนะ ฉันมีงานให้ทำ งานนี้มีรายละเอียดน้อย ดังนั้นอย่าบอกใครเกี่ยวกับมันนะ ฉันเพิ่งนึกขึ้นได้ว่า ฉันคุยอยู่กับใครและประโยคนั้นมันโง่แค่ไหน เอาล่ะ แค่อย่าบอกใครเกี่ยวกับมันมากละกัน โอเคนะ? โอเค บาย

<END TRANSCRIPT>

************"
"[english]quest25000desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************
HEY, SCOUT. IT'S PAULING. I, UH, GOT YOUR PHONE MESSAGE. MESSAGES. ALL OF THEM. SO THANKS FOR [00:05 SILENCE] THANKS FOR ALL THOSE. [00:06 SILENCE] ANYWAY, LISTEN, I'VE GOT WORK. THIS IS LOW PROFILE, SO DON'T TELL ANYONE ABOUT IT. I JUST REMEMBERED WHO I WAS TALKING TO AND HOW STUPID THAT SENTENCE WAS, LOOK, JUST DON'T TELL ANYONE TOO MUCH ABOUT IT, OKAY? OKAY, BYE.

<END TRANSCRIPT>

************"
"quest25000name0"	"ภารกิจ Scout"
"[english]quest25000name0"	"Scout Contract"
"quest25000objectivedesc0"	"ทำแต้มคะแนนเมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc0"	"Score points as Scout: %s1"
"quest25000objectivedesc1"	"สังหารในขณะที่กระโดด เมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc1"	"Kill while mid-jump as Scout: %s1"
"quest25000objectivedesc2"	"สังหาร Demoman เมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc2"	"Kill a Demoman as Scout: %s1"
"quest25000objectivedesc3"	"ยึดเป้าหมายภารกิจเมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc3"	"Capture an objective as Scout: %s1"
"quest25000objectivedesc4"	"สังหารเมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc4"	"Kill as Scout: %s1"
"quest25000objectivedesc5"	"สังหาร Medic เมื่อเล่นเป็น Scout: %s1"
"[english]quest25000objectivedesc5"	"Kill a Medic as Scout: %s1"
"quest25001desc0"	"คุณจำเป็นต้องปฏิบัติภารกิจทั้งหลายเมื่อเล่นเป็น Soldier ให้สำเร็จเพื่อบรรลุภารกิจนี้"
"[english]quest25001desc0"	"You will be required to complete various tasks as Soldier to complete this contract."
"quest25001desc1"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

โซลเยอร์เหรอ? นี่พอลิ่งนะ พ่อหนุ่ม  ประเทศกำลังต้องการนาย แสดงให้พวกหนอนแมลงนี่เห็นว่าต้องทำอย่างไร

<END TRANSCRIPT>

************"
"[english]quest25001desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER? IT'S PAULING, SON. YOUR COUNTRY NEEDS YOU. SHOW THESE MAGGOTS HOW IT'S DONE.

<END TRANSCRIPT>

************"
"quest25001desc2"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่ 
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

จัดแถว โซลเยอร์ แอลฟา โรมิโอ ซีโร่ดาร์กอาร์มี่เวิร์ด ฉันมีงานสำหรับนายนะ โซลเยอร์ จงทำให้ฉันภูมิใจล่ะ พ่อหนุ่ม

<END TRANSCRIPT>

************"
"[english]quest25001desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

TEN HUT, SOLDIER. ALPHA. ROMEO. ZERO DARK ARMY WORDS. I'VE GOT A JOB FOR YOU, SOLDIER. MAKE ME PROUD, SON.

<END TRANSCRIPT>

************"
"quest25001desc3"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

ถ้าภารกิจนี้ไม่เคยถูกปฏิเสธมาจนติดอันดับสูงสุด นายคงได้เป็นฮีโร่สำหรับงานนี้แล้วล่ะ พ่อหนุ่ม มันควรจะมีขบวนพาเหรด และเหรียญตรา พร้อมรูปของขบวนพาเหรดบนนั้น

<END TRANSCRIPT>

************"
"[english]quest25001desc3"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

IF THIS MISSION WEREN'T MAXIMUM DENIABILITY, YOU'D BE A HERO FOR THIS, SON. THERE WOULD BE A PARADE. AND MEDALS. WITH PICTURES OF THE PARADE ON THEM.

<END TRANSCRIPT>

************"
"quest25001desc4"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

โซลเยอร์ ฉันต้องการนาย และเปปเปอร์พ็อตพีท และซอลตี้พีท และปีเตอร์เปปเปอร์แพนท์ -- เวรล่ะ มีแต่เพื่อนกล่องกระดาษลูกฟูกของนายทั้งหมดเลยในงานนี้

<END TRANSCRIPT>

************"
"[english]quest25001desc4"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, I NEED YOU, AND PEPPER POT PETE, AND SALTY PETE, AND PETER PEPPER PANTS -- HELL, ALL YOUR CARDBOARD FRIENDS ON THIS ONE. 

<END TRANSCRIPT>

************"
"quest25001desc5"	"************

ภารกิจ MANNCO โทรเพื่อแฟกซ์ 1.54.45

คุณมี 1 ข้อความใหม่
ไอดีข้อความ: <915PAULING>

กำลังประมวลผล...

************

โซลเยอร์ นายรู้ไหมว่าใครไม่อยากให้นายรับงานนี้? พวกฮิปปี้ คอมมิวนิสต์ ทอม โจนส์ แสดงให้พวกมันเห็นซะ โซลเยอร์ แสดงให้พวกมันเห็นทั้งหมด

<END TRANSCRIPT>

************"
"[english]quest25001desc5"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, YOU KNOW WHO DOESN'T WANT YOU TO TAKE THIS JOB? HIPPIES. COMMUNISTS. TOM JONES. SHOW THEM, SOLDIER. SHOW THEM ALL.

<END TRANSCRIPT>

************"
"quest25001name0"	"ภารกิจ Soldier"
"[english]quest25001name0"	"Soldier Contract"
"quest25001objectivedesc0"	"ทำแต้มคะแนนเมื่อเล่นเป็น Soldier: %s1"
"[english]quest25001objectivedesc0"	"Score points as Soldier: %s1"
